;id;FirstName;LastName;Telephone;Mail
0;1;Rafail;Abdyushev;8(915)4536822;rafaelab@mail.ru
1;2;Anna;Nenasheva;35346346;anna@mail.ru
2;3;Bode;Miller;33426467;bode@gmail.com
3;4;Ted;Ligetty;893294;ted@gmail.com
4;5;max;richte;3464364;max@yandex.ru
5;6;rita;michailova;34523;rita@mail.ru
6;7;kimi;raikkonen;02842342;kimi@gmail.com
7;8;Amadei;Mozart;8986686988;mozart@gmail.com
8;9;Amadei;Mozart;8986686988;mozart@gmail.com
9;10;Frederic;Chopin;231553;chopin@bk.ru
10;11;Ferenz;List;346346456;list@yandex.com
11;12;Sergei;Rachmaninov;346347756;rachmaninov@gmail.com
12;13;Khatia;Bunatashvilli;868687877;khatia@gmail.com
13;14;margo;Ivanina;346346;margo@inbox.ru
14;15;alfred;shnittke;34262626;shittke@gmail.com
